facility_id,drug_id,period,closing_stock,estimated_total_cases,lead_time_days,rainy_season_access,accessibility_score,standard_daily_dose,treatment_duration_days,month,year
PKM-001,OBT-001,2023-03-01,1143,1008,14.0,terputus,1,6,7,3,2023
PKM-001,OBT-001,2023-04-01,309,811,14.0,terputus,1,6,7,4,2023
PKM-001,OBT-001,2023-05-01,815,797,14.0,terputus,1,6,7,5,2023
PKM-001,OBT-001,2023-06-01,356,987,14.0,terputus,1,6,7,6,2023
PKM-001,OBT-001,2023-07-01,432,1016,14.0,terputus,1,6,7,7,2023
PKM-001,OBT-001,2023-08-01,501,915,14.0,terputus,1,6,7,8,2023
PKM-001,OBT-001,2023-09-01,537,974,14.0,terputus,1,6,7,9,2023
PKM-001,OBT-001,2023-10-01,382,995,14.0,terputus,1,6,7,10,2023
PKM-001,OBT-001,2023-11-01,774,1832,14.0,terputus,1,6,7,11,2023
PKM-001,OBT-001,2023-12-01,863,1291,14.0,terputus,1,6,7,12,2023
PKM-001,OBT-001,2024-01-01,424,1117,14.0,terputus,1,6,7,1,2024
PKM-001,OBT-001,2024-02-01,1349,1151,14.0,terputus,1,6,7,2,2024
PKM-001,OBT-001,2024-03-01,395,991,14.0,terputus,1,6,7,3,2024
PKM-001,OBT-001,2024-04-01,310,781,14.0,terputus,1,6,7,4,2024
PKM-001,OBT-001,2024-05-01,754,791,14.0,terputus,1,6,7,5,2024
PKM-001,OBT-001,2024-06-01,540,977,14.0,terputus,1,6,7,6,2024
PKM-001,OBT-001,2024-07-01,486,951,14.0,terputus,1,6,7,7,2024
PKM-001,OBT-001,2024-08-01,1241,1055,14.0,terputus,1,6,7,8,2024
PKM-001,OBT-001,2024-09-01,921,1013,14.0,terputus,1,6,7,9,2024
PKM-001,OBT-001,2024-10-01,241,1010,14.0,terputus,1,6,7,10,2024
PKM-001,OBT-001,2024-11-01,512,1802,14.0,terputus,1,6,7,11,2024
PKM-001,OBT-001,2024-12-01,661,1243,14.0,terputus,1,6,7,12,2024
PKM-001,OBT-001,2025-01-01,817,995,14.0,terputus,1,6,7,1,2025
PKM-001,OBT-001,2025-02-01,969,1161,14.0,terputus,1,6,7,2,2025
PKM-001,OBT-002,2023-03-01,901,891,14.0,terputus,1,3,7,3,2023
PKM-001,OBT-002,2023-04-01,649,812,14.0,terputus,1,3,7,4,2023
PKM-001,OBT-002,2023-05-01,364,837,14.0,terputus,1,3,7,5,2023
PKM-001,OBT-002,2023-06-01,462,941,14.0,terputus,1,3,7,6,2023
PKM-001,OBT-002,2023-07-01,523,873,14.0,terputus,1,3,7,7,2023
PKM-001,OBT-002,2023-08-01,995,994,14.0,terputus,1,3,7,8,2023
PKM-001,OBT-002,2023-09-01,821,875,14.0,terputus,1,3,7,9,2023
PKM-001,OBT-002,2023-10-01,737,1074,14.0,terputus,1,3,7,10,2023
PKM-001,OBT-002,2023-11-01,498,1810,14.0,terputus,1,3,7,11,2023
PKM-001,OBT-002,2023-12-01,383,1133,14.0,terputus,1,3,7,12,2023
PKM-001,OBT-002,2024-01-01,803,1012,14.0,terputus,1,3,7,1,2024
PKM-001,OBT-002,2024-02-01,643,950,14.0,terputus,1,3,7,2,2024
PKM-001,OBT-002,2024-03-01,320,945,14.0,terputus,1,3,7,3,2024
PKM-001,OBT-002,2024-04-01,806,707,14.0,terputus,1,3,7,4,2024
PKM-001,OBT-002,2024-05-01,973,894,14.0,terputus,1,3,7,5,2024
PKM-001,OBT-002,2024-06-01,868,846,14.0,terputus,1,3,7,6,2024
PKM-001,OBT-002,2024-07-01,944,982,14.0,terputus,1,3,7,7,2024
PKM-001,OBT-002,2024-08-01,411,872,14.0,terputus,1,3,7,8,2024
PKM-001,OBT-002,2024-09-01,873,1036,14.0,terputus,1,3,7,9,2024
PKM-001,OBT-002,2024-10-01,462,1061,14.0,terputus,1,3,7,10,2024
PKM-001,OBT-002,2024-11-01,528,1636,14.0,terputus,1,3,7,11,2024
PKM-001,OBT-002,2024-12-01,909,1198,14.0,terputus,1,3,7,12,2024
PKM-001,OBT-002,2025-01-01,1256,1024,14.0,terputus,1,3,7,1,2025
PKM-001,OBT-002,2025-02-01,623,950,14.0,terputus,1,3,7,2,2025
PKM-001,OBT-003,2023-03-01,298,876,14.0,terputus,1,4,3,3,2023
PKM-001,OBT-003,2023-04-01,224,704,14.0,terputus,1,4,3,4,2023
PKM-001,OBT-003,2023-05-01,382,870,14.0,terputus,1,4,3,5,2023
PKM-001,OBT-003,2023-06-01,838,834,14.0,terputus,1,4,3,6,2023
PKM-001,OBT-003,2023-07-01,730,871,14.0,terputus,1,4,3,7,2023
PKM-001,OBT-003,2023-08-01,573,928,14.0,terputus,1,4,3,8,2023
PKM-001,OBT-003,2023-09-01,580,908,14.0,terputus,1,4,3,9,2023
PKM-001,OBT-003,2023-10-01,396,1046,14.0,terputus,1,4,3,10,2023
PKM-001,OBT-003,2023-11-01,596,1464,14.0,terputus,1,4,3,11,2023
PKM-001,OBT-003,2023-12-01,659,1011,14.0,terputus,1,4,3,12,2023
PKM-001,OBT-003,2024-01-01,466,1002,14.0,terputus,1,4,3,1,2024
PKM-001,OBT-003,2024-02-01,841,899,14.0,terputus,1,4,3,2,2024
PKM-001,OBT-003,2024-03-01,392,889,14.0,terputus,1,4,3,3,2024
PKM-001,OBT-003,2024-04-01,408,768,14.0,terputus,1,4,3,4,2024
PKM-001,OBT-003,2024-05-01,640,852,14.0,terputus,1,4,3,5,2024
PKM-001,OBT-003,2024-06-01,329,784,14.0,terputus,1,4,3,6,2024
PKM-001,OBT-003,2024-07-01,703,916,14.0,terputus,1,4,3,7,2024
PKM-001,OBT-003,2024-08-01,836,848,14.0,terputus,1,4,3,8,2024
PKM-001,OBT-003,2024-09-01,927,962,14.0,terputus,1,4,3,9,2024
PKM-001,OBT-003,2024-10-01,314,871,14.0,terputus,1,4,3,10,2024
PKM-001,OBT-003,2024-11-01,228,1688,14.0,terputus,1,4,3,11,2024
PKM-001,OBT-003,2024-12-01,325,1189,14.0,terputus,1,4,3,12,2024
PKM-001,OBT-003,2025-01-01,874,979,14.0,terputus,1,4,3,1,2025
PKM-001,OBT-003,2025-02-01,691,863,14.0,terputus,1,4,3,2,2025
PKM-001,OBT-004,2023-03-01,752,802,14.0,terputus,1,2,30,3,2023
PKM-001,OBT-004,2023-04-01,583,691,14.0,terputus,1,2,30,4,2023
PKM-001,OBT-004,2023-05-01,358,648,14.0,terputus,1,2,30,5,2023
PKM-001,OBT-004,2023-06-01,742,711,14.0,terputus,1,2,30,6,2023
PKM-001,OBT-004,2023-07-01,726,829,14.0,terputus,1,2,30,7,2023
PKM-001,OBT-004,2023-08-01,606,798,14.0,terputus,1,2,30,8,2023
PKM-001,OBT-004,2023-09-01,606,739,14.0,terputus,1,2,30,9,2023
PKM-001,OBT-004,2023-10-01,430,777,14.0,terputus,1,2,30,10,2023
PKM-001,OBT-004,2023-11-01,986,1649,14.0,terputus,1,2,30,11,2023
PKM-001,OBT-004,2023-12-01,354,1004,14.0,terputus,1,2,30,12,2023
PKM-001,OBT-004,2024-01-01,1054,862,14.0,terputus,1,2,30,1,2024
PKM-001,OBT-004,2024-02-01,470,908,14.0,terputus,1,2,30,2,2024
PKM-001,OBT-004,2024-03-01,453,908,14.0,terputus,1,2,30,3,2024
PKM-001,OBT-004,2024-04-01,719,647,14.0,terputus,1,2,30,4,2024
PKM-001,OBT-004,2024-05-01,285,730,14.0,terputus,1,2,30,5,2024
PKM-001,OBT-004,2024-06-01,351,847,14.0,terputus,1,2,30,6,2024
PKM-001,OBT-004,2024-07-01,781,826,14.0,terputus,1,2,30,7,2024
PKM-001,OBT-004,2024-08-01,461,836,14.0,terputus,1,2,30,8,2024
PKM-001,OBT-004,2024-09-01,902,857,14.0,terputus,1,2,30,9,2024
PKM-001,OBT-004,2024-10-01,513,964,14.0,terputus,1,2,30,10,2024
PKM-001,OBT-004,2024-11-01,695,1598,14.0,terputus,1,2,30,11,2024
PKM-001,OBT-004,2024-12-01,1069,1110,14.0,terputus,1,2,30,12,2024
PKM-001,OBT-004,2025-01-01,327,851,14.0,terputus,1,2,30,1,2025
PKM-001,OBT-004,2025-02-01,507,744,14.0,terputus,1,2,30,2,2025
PKM-001,OBT-005,2023-03-01,356,537,14.0,terputus,1,1,30,3,2023
PKM-001,OBT-005,2023-04-01,352,383,14.0,terputus,1,1,30,4,2023
PKM-001,OBT-005,2023-05-01,343,442,14.0,terputus,1,1,30,5,2023
PKM-001,OBT-005,2023-06-01,333,477,14.0,terputus,1,1,30,6,2023
PKM-001,OBT-005,2023-07-01,335,457,14.0,terputus,1,1,30,7,2023
PKM-001,OBT-005,2023-08-01,561,557,14.0,terputus,1,1,30,8,2023
PKM-001,OBT-005,2023-09-01,329,541,14.0,terputus,1,1,30,9,2023
PKM-001,OBT-005,2023-10-01,239,560,14.0,terputus,1,1,30,10,2023
PKM-001,OBT-005,2023-11-01,1547,2627,14.0,terputus,1,1,30,11,2023
