facility_id,period,condition_id,manual_cases,anamnesis_indicated_cases,estimated_total_cases,confidence_level
PKM-001,2023-01-01,K06,1,0.0,1.0,high
PKM-001,2023-01-01,K07,1,0.0,1.0,high
PKM-001,2023-01-01,K11,2,0.0,2.0,high
PKM-001,2023-01-01,K16,1,0.0,1.0,high
PKM-001,2023-02-01,K01,1,0.0,1.0,high
PKM-001,2023-02-01,K11,1,0.0,1.0,high
PKM-001,2023-02-01,K13,2,0.0,2.0,high
PKM-001,2023-03-01,K01,3,0.0,3.0,high
PKM-001,2023-03-01,K11,1,0.0,1.0,high
PKM-001,2023-03-01,K16,1,0.0,1.0,high
PKM-001,2023-04-01,K01,1,0.0,1.0,high
PKM-001,2023-04-01,K04,1,0.0,1.0,high
PKM-001,2023-04-01,K11,1,0.0,1.0,high
PKM-001,2023-04-01,K13,1,0.0,1.0,high
PKM-001,2023-04-01,K14,3,0.0,3.0,high
PKM-001,2023-05-01,K01,1,0.0,1.0,high
PKM-001,2023-05-01,K04,1,0.0,1.0,high
PKM-001,2023-05-01,K14,1,0.0,1.0,high
PKM-001,2023-05-01,K15,1,0.0,1.0,high
PKM-001,2023-05-01,K16,1,0.0,1.0,high
PKM-001,2023-06-01,K01,2,0.0,2.0,high
PKM-001,2023-06-01,K02,1,0.0,1.0,high
PKM-001,2023-06-01,K13,1,0.0,1.0,high
PKM-001,2023-07-01,K01,3,0.0,3.0,high
PKM-001,2023-07-01,K03,1,0.0,1.0,high
PKM-001,2023-07-01,K13,1,0.0,1.0,high
PKM-001,2023-08-01,K01,2,0.0,2.0,high
PKM-001,2023-08-01,K02,2,0.0,2.0,high
PKM-001,2023-08-01,K05,2,0.0,2.0,high
PKM-001,2023-08-01,K06,1,0.0,1.0,high
PKM-001,2023-08-01,K14,1,0.0,1.0,high
PKM-001,2023-09-01,K02,1,0.0,1.0,high
PKM-001,2023-09-01,K03,1,0.0,1.0,high
PKM-001,2023-09-01,K04,2,0.0,2.0,high
PKM-001,2023-09-01,K14,1,0.0,1.0,high
PKM-001,2023-10-01,K01,2,0.0,2.0,high
PKM-001,2023-10-01,K02,1,0.0,1.0,high
PKM-001,2023-10-01,K03,1,0.0,1.0,high
PKM-001,2023-10-01,K14,1,0.0,1.0,high
PKM-001,2023-11-01,K01,1,0.0,1.0,high
PKM-001,2023-11-01,K02,1,0.0,1.0,high
PKM-001,2023-12-01,K01,1,0.0,1.0,high
PKM-001,2023-12-01,K02,1,0.0,1.0,high
PKM-001,2023-12-01,K06,1,0.0,1.0,high
PKM-001,2023-12-01,K11,1,0.0,1.0,high
PKM-001,2023-12-01,K12,1,0.0,1.0,high
PKM-001,2024-01-01,K01,1,0.0,1.0,high
PKM-001,2024-01-01,K02,2,0.0,2.0,high
PKM-001,2024-01-01,K03,2,0.0,2.0,high
PKM-001,2024-01-01,K05,1,0.0,1.0,high
PKM-001,2024-01-01,K11,1,0.0,1.0,high
PKM-001,2024-01-01,K13,1,0.0,1.0,high
PKM-001,2024-02-01,K06,1,0.0,1.0,high
PKM-001,2024-02-01,K14,1,0.0,1.0,high
PKM-001,2024-03-01,K01,2,0.0,2.0,high
PKM-001,2024-03-01,K02,2,0.0,2.0,high
PKM-001,2024-03-01,K05,1,0.0,1.0,high
PKM-001,2024-03-01,K14,1,0.0,1.0,high
PKM-001,2024-03-01,K15,1,0.0,1.0,high
PKM-001,2024-03-01,K16,2,0.0,2.0,high
PKM-001,2024-04-01,K02,2,0.0,2.0,high
PKM-001,2024-04-01,K03,1,0.0,1.0,high
PKM-001,2024-04-01,K11,1,0.0,1.0,high
PKM-001,2024-04-01,K13,1,0.0,1.0,high
PKM-001,2024-05-01,K02,1,0.0,1.0,high
PKM-001,2024-05-01,K03,1,0.0,1.0,high
PKM-001,2024-05-01,K04,1,0.0,1.0,high
PKM-001,2024-05-01,K05,2,0.0,2.0,high
PKM-001,2024-05-01,K13,1,0.0,1.0,high
PKM-001,2024-06-01,K01,1,0.0,1.0,high
PKM-001,2024-06-01,K04,1,0.0,1.0,high
PKM-001,2024-06-01,K06,2,0.0,2.0,high
PKM-001,2024-06-01,K11,2,0.0,2.0,high
PKM-001,2024-06-01,K14,1,0.0,1.0,high
PKM-001,2024-07-01,K01,1,0.0,1.0,high
PKM-001,2024-07-01,K02,1,0.0,1.0,high
PKM-001,2024-07-01,K05,1,0.0,1.0,high
PKM-001,2024-07-01,K14,1,0.0,1.0,high
PKM-001,2024-08-01,K05,1,0.0,1.0,high
PKM-001,2024-08-01,K06,1,0.0,1.0,high
PKM-001,2024-09-01,K01,1,0.0,1.0,high
PKM-001,2024-09-01,K02,1,0.0,1.0,high
PKM-001,2024-09-01,K05,3,0.0,3.0,high
PKM-001,2024-09-01,K07,1,0.0,1.0,high
PKM-001,2024-10-01,K01,3,0.0,3.0,high
