run_id,facility_id,drug_id,factor,factor_value,weight_contribution
L2-2026-01,PKM-001,OBT-001,drug_category,essential,0.6931
L2-2026-01,PKM-001,OBT-001,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-001,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-001,days_of_stock,38.5,0.0
L2-2026-01,PKM-001,OBT-001,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-002,drug_category,essential,0.6931
L2-2026-01,PKM-001,OBT-002,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-002,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-002,days_of_stock,36.0,0.0
L2-2026-01,PKM-001,OBT-002,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-003,drug_category,essential,0.6931
L2-2026-01,PKM-001,OBT-003,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-003,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-003,days_of_stock,15.0,0.4055
L2-2026-01,PKM-001,OBT-003,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-004,drug_category,essential,0.6931
L2-2026-01,PKM-001,OBT-004,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-004,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-004,days_of_stock,7.5,0.5596
L2-2026-01,PKM-001,OBT-004,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-005,drug_category,routine,0.0
L2-2026-01,PKM-001,OBT-005,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-005,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-005,days_of_stock,0.0,0.6931
L2-2026-01,PKM-001,OBT-005,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-006,drug_category,routine,0.0
L2-2026-01,PKM-001,OBT-006,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-006,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-006,days_of_stock,0.0,0.6931
L2-2026-01,PKM-001,OBT-006,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-007,drug_category,emergency,1.0986
L2-2026-01,PKM-001,OBT-007,accessibility,1,0.4055
L2-2026-01,PKM-001,OBT-007,stockout_history,0,0.0
L2-2026-01,PKM-001,OBT-007,days_of_stock,30.0,0.0
L2-2026-01,PKM-001,OBT-007,regional_mmr,464.8,0.5732
L2-2026-01,PKM-001,OBT-008,drug_category,essential,0.6931
