facility_id,period,condition_id,case_count,diagnosis_source
PKM-001,2023-01-01,K06,1,clinical
PKM-001,2023-01-01,K07,1,clinical
PKM-001,2023-01-01,K11,2,clinical
PKM-001,2023-01-01,K16,1,clinical
PKM-001,2023-02-01,K01,1,rdt
PKM-001,2023-02-01,K11,1,clinical
PKM-001,2023-02-01,K13,2,clinical
PKM-001,2023-03-01,K01,3,rdt
PKM-001,2023-03-01,K11,1,clinical
PKM-001,2023-03-01,K16,1,clinical
PKM-001,2023-04-01,K01,1,rdt
PKM-001,2023-04-01,K04,1,clinical
PKM-001,2023-04-01,K11,1,clinical
PKM-001,2023-04-01,K13,1,clinical
PKM-001,2023-04-01,K14,3,clinical
PKM-001,2023-05-01,K01,1,rdt
PKM-001,2023-05-01,K04,1,clinical
PKM-001,2023-05-01,K14,1,clinical
PKM-001,2023-05-01,K15,1,clinical
PKM-001,2023-05-01,K16,1,clinical
PKM-001,2023-06-01,K01,2,rdt
PKM-001,2023-06-01,K02,1,clinical
PKM-001,2023-06-01,K13,1,clinical
PKM-001,2023-07-01,K01,3,rdt
PKM-001,2023-07-01,K03,1,clinical
PKM-001,2023-07-01,K13,1,clinical
PKM-001,2023-08-01,K01,2,rdt
PKM-001,2023-08-01,K02,2,clinical
PKM-001,2023-08-01,K05,2,clinical
PKM-001,2023-08-01,K06,1,clinical
PKM-001,2023-08-01,K14,1,clinical
PKM-001,2023-09-01,K02,1,clinical
PKM-001,2023-09-01,K03,1,clinical
PKM-001,2023-09-01,K04,2,clinical
PKM-001,2023-09-01,K14,1,clinical
PKM-001,2023-10-01,K01,2,rdt
PKM-001,2023-10-01,K02,1,clinical
PKM-001,2023-10-01,K03,1,clinical
PKM-001,2023-10-01,K14,1,clinical
PKM-001,2023-11-01,K01,1,rdt
PKM-001,2023-11-01,K02,1,clinical
PKM-001,2023-12-01,K01,1,rdt
PKM-001,2023-12-01,K02,1,clinical
PKM-001,2023-12-01,K06,1,clinical
PKM-001,2023-12-01,K11,1,clinical
PKM-001,2023-12-01,K12,1,clinical
PKM-001,2024-01-01,K01,1,rdt
PKM-001,2024-01-01,K02,2,clinical
PKM-001,2024-01-01,K03,2,clinical
PKM-001,2024-01-01,K05,1,clinical
PKM-001,2024-01-01,K11,1,clinical
PKM-001,2024-01-01,K13,1,clinical
PKM-001,2024-02-01,K06,1,clinical
PKM-001,2024-02-01,K14,1,clinical
PKM-001,2024-03-01,K01,2,rdt
PKM-001,2024-03-01,K02,2,clinical
PKM-001,2024-03-01,K05,1,clinical
PKM-001,2024-03-01,K14,1,clinical
PKM-001,2024-03-01,K15,1,clinical
PKM-001,2024-03-01,K16,2,clinical
PKM-001,2024-04-01,K02,2,clinical
PKM-001,2024-04-01,K03,1,clinical
PKM-001,2024-04-01,K11,1,clinical
PKM-001,2024-04-01,K13,1,clinical
PKM-001,2024-05-01,K02,1,clinical
PKM-001,2024-05-01,K03,1,clinical
PKM-001,2024-05-01,K04,1,clinical
PKM-001,2024-05-01,K05,2,clinical
PKM-001,2024-05-01,K13,1,clinical
PKM-001,2024-06-01,K01,1,rdt
PKM-001,2024-06-01,K04,1,clinical
PKM-001,2024-06-01,K06,2,clinical
PKM-001,2024-06-01,K11,2,clinical
PKM-001,2024-06-01,K14,1,clinical
PKM-001,2024-07-01,K01,1,rdt
PKM-001,2024-07-01,K02,1,clinical
PKM-001,2024-07-01,K05,1,clinical
PKM-001,2024-07-01,K14,1,clinical
PKM-001,2024-08-01,K05,1,clinical
PKM-001,2024-08-01,K06,1,clinical
PKM-001,2024-09-01,K01,1,rdt
PKM-001,2024-09-01,K02,1,clinical
PKM-001,2024-09-01,K05,3,clinical
PKM-001,2024-09-01,K07,1,clinical
PKM-001,2024-10-01,K01,3,rdt
PKM-001,2024-10-01,K02,1,clinical
PKM-001,2024-10-01,K11,1,clinical
PKM-001,2024-10-01,K15,1,clinical
PKM-001,2024-11-01,K01,4,rdt
PKM-001,2024-11-01,K07,1,clinical
PKM-001,2024-11-01,K08,1,rdt
PKM-001,2024-11-01,K13,1,clinical
PKM-001,2024-11-01,K14,1,clinical
PKM-001,2024-11-01,K15,1,clinical
PKM-001,2024-11-01,K16,2,clinical
PKM-001,2024-12-01,K01,4,rdt
PKM-001,2024-12-01,K04,1,clinical
PKM-001,2024-12-01,K07,1,clinical
PKM-001,2024-12-01,K11,1,clinical
PKM-001,2024-12-01,K15,1,clinical
PKM-001,2025-01-01,K01,4,rdt
PKM-001,2025-01-01,K02,2,clinical
PKM-001,2025-01-01,K05,1,clinical
PKM-001,2025-01-01,K11,2,clinical
PKM-001,2025-02-01,K01,1,rdt
PKM-001,2025-02-01,K05,1,clinical
PKM-001,2025-02-01,K07,1,clinical
PKM-001,2025-02-01,K11,1,clinical
PKM-001,2025-02-01,K14,1,clinical
PKM-001,2025-02-01,K15,1,clinical
PKM-001,2025-03-01,K01,4,rdt
PKM-001,2025-03-01,K02,1,clinical
PKM-001,2025-03-01,K06,1,clinical
PKM-001,2025-03-01,K14,1,clinical
PKM-001,2025-04-01,K02,1,clinical
PKM-001,2025-04-01,K05,1,clinical
PKM-001,2025-04-01,K12,1,clinical
PKM-001,2025-04-01,K13,1,clinical
PKM-001,2025-05-01,K01,3,rdt
PKM-001,2025-05-01,K02,1,clinical
PKM-001,2025-05-01,K11,1,clinical
PKM-001,2025-05-01,K13,2,clinical
PKM-001,2025-05-01,K14,2,clinical
PKM-001,2025-06-01,K01,4,rdt
PKM-001,2025-06-01,K02,1,clinical
PKM-001,2025-06-01,K04,1,clinical
PKM-001,2025-06-01,K13,2,clinical
PKM-001,2025-07-01,K01,1,rdt
PKM-001,2025-07-01,K02,1,clinical
PKM-001,2025-07-01,K03,1,clinical
PKM-001,2025-07-01,K12,1,clinical
PKM-001,2025-07-01,K16,3,clinical
PKM-001,2025-08-01,K01,1,rdt
PKM-001,2025-08-01,K02,1,clinical
PKM-001,2025-08-01,K03,1,clinical
