facility_id,period,drug_id,opening_stock,resupply_units,consumption,closing_stock,stockout_flag
PKM-001,2023-01-01,OBT-001,39,0,0,39,False
PKM-001,2023-02-01,OBT-001,39,0,6,33,False
PKM-001,2023-03-01,OBT-001,33,0,33,0,True
PKM-001,2023-04-01,OBT-001,68,68,12,56,False
PKM-001,2023-05-01,OBT-001,68,12,9,59,False
PKM-001,2023-06-01,OBT-001,68,9,26,42,False
PKM-001,2023-07-01,OBT-001,52,10,20,32,False
PKM-001,2023-08-01,OBT-001,52,20,22,30,False
PKM-001,2023-09-01,OBT-001,52,22,0,52,False
PKM-001,2023-10-01,OBT-001,52,0,15,37,False
PKM-001,2023-11-01,OBT-001,37,0,12,25,False
PKM-001,2023-12-01,OBT-001,25,0,14,11,False
PKM-001,2024-01-01,OBT-001,11,0,10,1,False
PKM-001,2024-02-01,OBT-001,1,0,0,1,False
PKM-001,2024-03-01,OBT-001,1,0,1,0,True
PKM-001,2024-04-01,OBT-001,58,58,0,58,False
PKM-001,2024-05-01,OBT-001,58,0,0,58,False
PKM-001,2024-06-01,OBT-001,58,0,14,44,False
PKM-001,2024-07-01,OBT-001,44,0,11,33,False
PKM-001,2024-08-01,OBT-001,33,0,0,33,False
PKM-001,2024-09-01,OBT-001,33,0,13,20,False
PKM-001,2024-10-01,OBT-001,20,0,20,0,True
PKM-001,2024-11-01,OBT-001,0,0,0,0,True
PKM-001,2024-12-01,OBT-001,0,0,0,0,True
PKM-001,2025-01-01,OBT-001,0,0,0,0,True
PKM-001,2025-02-01,OBT-001,0,0,0,0,True
PKM-001,2025-03-01,OBT-001,0,0,0,0,True
PKM-001,2025-04-01,OBT-001,64,64,0,64,False
PKM-001,2025-05-01,OBT-001,64,0,21,43,False
PKM-001,2025-06-01,OBT-001,43,0,43,0,True
PKM-001,2025-07-01,OBT-001,112,112,11,101,False
PKM-001,2025-08-01,OBT-001,112,11,8,104,False
PKM-001,2025-09-01,OBT-001,112,8,0,112,False
PKM-001,2025-10-01,OBT-001,112,0,28,84,False
PKM-001,2025-11-01,OBT-001,84,0,34,50,False
PKM-001,2025-12-01,OBT-001,50,0,0,50,False
PKM-001,2023-01-01,OBT-002,5,0,0,5,False
PKM-001,2023-02-01,OBT-002,5,0,1,4,False
PKM-001,2023-03-01,OBT-002,4,0,4,0,False
PKM-001,2023-04-01,OBT-002,8,8,1,7,False
PKM-001,2023-05-01,OBT-002,8,1,1,7,False
PKM-001,2023-06-01,OBT-002,8,1,3,5,False
PKM-001,2023-07-01,OBT-002,6,1,3,3,False
PKM-001,2023-08-01,OBT-002,6,3,3,3,False
PKM-001,2023-09-01,OBT-002,6,3,0,6,False
PKM-001,2023-10-01,OBT-002,6,0,2,4,False
PKM-001,2023-11-01,OBT-002,4,0,1,3,False
PKM-001,2023-12-01,OBT-002,3,0,2,1,False
PKM-001,2024-01-01,OBT-002,1,0,1,0,False
PKM-001,2024-02-01,OBT-002,0,0,0,0,False
PKM-001,2024-03-01,OBT-002,0,0,0,0,True
PKM-001,2024-04-01,OBT-002,8,8,0,8,False
